time,open,high,low,close,Up Trend,Down Trend,EMA,EMA,Daily Pivot,Daily BC,Daily TC,Daily R1,Daily R2,Daily S1,Daily S2,Daily S3,Volume
2026-02-16T10:50:00+05:30,25516.75,25525.7,25508.8,25513.6,25457.37600782361,,25514.69333135037,25520.733264306145,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,3146042
2026-02-16T10:55:00+05:30,25512.7,25525.65,25508.2,25523.05,25457.37600782361,,25515.489204555095,25521.196611444917,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,2280412
2026-02-16T11:00:00+05:30,25523.55,25533.45,25507.15,25530.9,25457.37600782361,,25516.95689935937,25523.137289155933,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,3027940
2026-02-16T11:05:00+05:30,25531.05,25537.1,25525.85,25531.95,25462.781077705396,,25518.3848137061,25524.899831324747,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,2650670
2026-02-16T11:10:00+05:30,25531.65,25534.7,25523.95,25534.55,25464.27546993486,,25519.9243552579,25526.829865059797,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,2011218
2026-02-16T11:15:00+05:30,25533.85,25540.7,25527.3,25533.85,25471.435422941373,,25521.2506071381,25528.233892047836,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,2817520
2026-02-16T11:20:00+05:30,25534.65,25544.55,25530.7,25541.4,25477.161880647236,,25523.169596934473,25530.86711363827,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,3006608
2026-02-16T11:25:00+05:30,25541.45,25547.15,25511.35,25517.8,25477.161880647236,,25522.65820675024,25528.253690910617,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,2808593
2026-02-16T11:30:00+05:30,25518.1,25531.3,25513.9,25519.4,25477.161880647236,,25522.347901345453,25526.482952728493,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,3403080
2026-02-16T11:35:00+05:30,25520.65,25531.4,25513.6,25528.2,25477.161880647236,,25522.905244074456,25526.826362182794,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,2514114
2026-02-16T11:40:00+05:30,25528.5,25531.55,25518.9,25523.65,25477.161880647236,,25522.976173210223,25526.191089746237,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,3317054
2026-02-16T11:45:00+05:30,25521.05,25522.5,25503.05,25515.6,25477.161880647236,,25522.273680523536,25524.07287179699,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,3139901
2026-02-16T11:50:00+05:30,25515.1,25517.4,25506.8,25509.1,25477.161880647236,,25521.0190442832,25521.07829743759,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,2032186
2026-02-16T11:55:00+05:30,25509,25529.65,25507.65,25529.1,25477.161880647236,,25521.788659113372,25522.68263795007,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,1907609
2026-02-16T12:00:00+05:30,25532.4,25538.75,25528.85,25535.6,25478.227442878317,,25523.1040249121,25525.266110360055,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,3060049
2026-02-16T12:05:00+05:30,25535.55,25542.8,25531.6,25539.3,25483.82469859048,,25524.646498729995,25528.072888288043,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,2514250
2026-02-16T12:10:00+05:30,25539.6,25555.2,25539.6,25545.7,25494.59222873144,,25526.651594089042,25531.598310630434,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,2485477
2026-02-16T12:15:00+05:30,25545.4,25565.7,25532.95,25561.25,25494.59222873144,,25529.946680366276,25537.528648504347,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,3105508
2026-02-16T12:20:00+05:30,25562.5,25566.6,25552.05,25559.8,25503.34320527246,,25532.789853664726,25541.98291880348,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,2357520
2026-02-16T12:25:00+05:30,25560.95,25576.5,25554.4,25576.05,25508.43638474522,,25536.90986760142,25548.79633504278,25515.25,25493.175000000003,25537.324999999997,25586.2,25701.3,25400.15,25329.2,25214.100000000002,2609232
